key,recordId,completeness,comment,registration_moment,responsible_person,draft_mode,key:contract
progress_log-01,PG-A-0001,90.0,This is a short commentThis is a short commentThis is a short commentThis is a short commentThis is.,2021/01/01 00:00,john_doe,true,contract-01
progress_log-02,PG-AB-0002,80.0,x,2021/01/02 00:00,jane_doe,true,contract-02
progress_log-03,PG-B-0003,95.0,هذا تعليق قصير. هذا تعليق قصير. هذا تعليق قصير. هذا تعليق قصير. هذا تعليق قصير.,2021/01/03 00:00,alice_smith,true,contract-03
progress_log-04,PG-C-0004,100.0,これは短いコメントです。これは短いコメントです。これは短いコメントです。これは短いコメントです。これは短いコメントです。,2021/01/04 00:00,bob_smith,false,contract-04
progress_log-05,PG-AB-0005,85.0,This is an almost complete comment,2021/01/05 00:00,La persona responsable es John Doe.La persona responsable es John Doe.Es JD,false,contract-05
progress_log-06,PG-C-0006,98.0,This is another complete comment,2021/01/06 00:00,Ответственное лицо - Джон Доу. Ответственное лицо - Джон Доу. Это ДжД.,true,contract-06
progress_log-07,PG-B-0007,92.0,This is an in-progress comment,2021/01/07 00:00,J,true,contract-07
progress_log-08,PG-AB-0008,87.0,This is a pending comment,2021/01/08 00:00,chris_doe,false,contract-08
progress_log-09,PG-C-0009,96.0,This is a test comment,2021/01/09 00:00,alex_smith,false,contract-09
progress_log-10,PG-B-0010,93.0,This is a sample comment,2021/01/10 00:00,sophia_johnson,true,contract-10
